YBL007c YNL153c
YBL007c YNL238w
YBL007c YNL271c
YBL007c YOR181w
YBL007c YOR284w
YBL007c YPR135w
YBL007c YPR171w
YBL008w YGR063c
YBL008w YLR103c
YBL009w YGL127c
YBL014c YHL004w
YBL014c YJL025w
YBL014c YML043c
YBL016w YDR103w
YBL016w YDR480w
YBL016w YGL057c
YBL016w YGL178w
YBL016w YHR084w
YBL016w YJL157c
YBL016w YLR313c
YBL019w YEL009c
YBL020w YPR086w
YBL021c YGL237c
YBL021c YHL006c
YBL021c YKL109w
YBL022c YDR086c
YBL023c YDL017w
YBL023c YDR052c
YBL023c YIL150c
YBL023c YLR103c
YBL024w YEL003w
YBL024w YGR078c
YBL024w YNL153c
YBL025w YDL113c
YBL025w YGR143w
YBL025w YJR087w
YBL025w YMR270c
YBL026w YBL066c
YBL026w YCR066w
YBL026w YCR077c
YBL026w YDL175c
YBL026w YDR166c
YBL026w YDR378c
YBL026w YEL015w
YBL026w YER025w
YBL026w YER146w
YBL026w YGL173c
YBL026w YIL066c
YBL026w YIL132c
YBL026w YLR039c
YBL026w YLR120c
YBL026w YLR126c
YBL026w YLR128w
YBL026w YLR275w
YBL026w YMR066w
YBL026w YMR237w
YBL026w YMR268c
YBL026w YNL118c
YBL026w YNL147w
YBL026w YNL264c
YBL026w YNL287w
YBL026w YOL149w
YBL026w YOL163w
YBL026w YOR017w
YBL026w YOR043w
YBL026w YOR167c
YBL026w YOR191w
YBL026w YPL042c
YBL026w YPL115c
YBL026w YPL119c
YBL026w YPL249c
YBL026w YPR032w
YBL027w YCL029c
YBL027w YGR069w
YBL031w YGR218w
YBL032w YFR012w
YBL033c YNL105w
YBL033c YPR172w
YBL034c YDR330w
YBL034c YFL037w
YBL038w YGR033c
YBL039c YJR103w
YBL039c YPL070w
YBL040c YCR067c
YBL040c YDR077w
YBL042c YBR021w
YBL042c YLR039c
YBL043w YBL100w-a
YBL043w YDR099w
YBL044w YJL159w
YBL045c YLR090w
YBL045c YMR047c
YBL045c YNL118c
YBL045c YPR191w
YBL046w YNL201c
YBL047c YBL061c
YBL047c YBR023c
YBL047c YHR030c
YBL047c YHR142w
YBL047c YJR075w
YBL047c YLR330w
YBL047c YLR342w
YBL047c YNL298w
YBL049w YGR172c
YBL049w YJR091c
YBL050w YDR468c
YBL050w YGR009c
YBL050w YHL031c
YBL050w YJR063w
YBL050w YKR068c
YBL050w YMR197c
YBL050w YOL018c
YBL051c YEL003w
YBL051c YGL127c
YBL051c YGR078c
YBL051c YIL151c
